epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,738.691,1.01014,2.29843,1.21168,0.59088,0.4722,0.49661,0.3958,0.72781,1.35195,1.00704,0.0667753,3.32579e-05,3.32579e-05
2,911.097,0.83704,1.34143,1.08464,0.77634,0.59305,0.66759,0.54904,0.60878,0.8843,0.92459,0.0334737,6.49266e-05,6.49266e-05
3,1083.69,0.7618,1.09224,1.03677,0.83274,0.61319,0.70394,0.56713,0.60228,0.79222,0.93243,0.000170344,9.49289e-05,9.49289e-05
4,1254.19,0.7089,0.92314,1.00877,0.82898,0.63538,0.73324,0.60124,0.57748,0.74222,0.90223,9.25008e-05,9.25008e-05,9.25008e-05
5,1425.67,0.68982,0.86746,0.98616,0.82978,0.67169,0.75085,0.62892,0.56513,0.68252,0.90066,9.0001e-05,9.0001e-05,9.0001e-05
6,1595.76,0.67008,0.81411,0.97893,0.85315,0.72141,0.791,0.6579,0.54276,0.62032,0.89499,8.75013e-05,8.75013e-05,8.75013e-05
7,1765.98,0.61979,0.74163,0.95981,0.82287,0.68601,0.77182,0.65219,0.53228,0.63113,0.89079,8.50015e-05,8.50015e-05,8.50015e-05
8,1936.82,0.61153,0.71879,0.94521,0.89848,0.70873,0.80392,0.67332,0.51736,0.58502,0.87937,8.25017e-05,8.25017e-05,8.25017e-05
9,2106.7,0.60658,0.68401,0.94681,0.86791,0.7291,0.80576,0.67356,0.51089,0.57107,0.87702,8.0002e-05,8.0002e-05,8.0002e-05
10,2277.48,0.58652,0.6213,0.93634,0.8969,0.72147,0.81345,0.68384,0.50536,0.55683,0.8737,7.75023e-05,7.75023e-05,7.75023e-05
11,2447.26,0.57438,0.61638,0.92355,0.90597,0.74341,0.81969,0.69814,0.50395,0.53025,0.86888,7.50025e-05,7.50025e-05,7.50025e-05
12,2617.35,0.56581,0.60169,0.9279,0.89926,0.74295,0.8222,0.70017,0.48074,0.51242,0.8659,7.25028e-05,7.25028e-05,7.25028e-05
13,2787.87,0.54904,0.57801,0.91773,0.93145,0.73086,0.82547,0.70922,0.48201,0.50251,0.866,7.0003e-05,7.0003e-05,7.0003e-05
14,2956.82,0.55304,0.57695,0.91945,0.90112,0.74293,0.8224,0.70071,0.47916,0.5175,0.86582,6.75033e-05,6.75033e-05,6.75033e-05
15,3125.78,0.54731,0.55746,0.90478,0.91044,0.75558,0.83678,0.71275,0.47041,0.47917,0.86487,6.50035e-05,6.50035e-05,6.50035e-05
16,3296.03,0.55116,0.55298,0.91547,0.93424,0.74535,0.83074,0.71272,0.46255,0.48449,0.85132,6.25038e-05,6.25038e-05,6.25038e-05
17,3465.02,0.52804,0.51885,0.90209,0.93797,0.73462,0.83109,0.71647,0.46347,0.48311,0.85971,6.0004e-05,6.0004e-05,6.0004e-05
18,3634.19,0.52628,0.52457,0.90819,0.94941,0.74563,0.8345,0.7175,0.46288,0.46923,0.85836,5.75042e-05,5.75042e-05,5.75042e-05
19,3804.98,0.52055,0.50545,0.90262,0.93864,0.76209,0.83678,0.72006,0.46451,0.47046,0.85552,5.50045e-05,5.50045e-05,5.50045e-05
20,3973.97,0.51702,0.50261,0.90255,0.94181,0.74072,0.83631,0.72325,0.44883,0.45646,0.84791,5.25048e-05,5.25048e-05,5.25048e-05
21,4143.53,0.51097,0.48806,0.89758,0.92806,0.77058,0.83994,0.72406,0.44673,0.45856,0.8462,5.0005e-05,5.0005e-05,5.0005e-05
22,4314.36,0.50053,0.48155,0.89407,0.93131,0.77445,0.84669,0.72984,0.44722,0.44849,0.85225,4.75053e-05,4.75053e-05,4.75053e-05
23,4483.72,0.49891,0.46938,0.88557,0.90652,0.77816,0.84331,0.72354,0.45468,0.45617,0.85751,4.50055e-05,4.50055e-05,4.50055e-05
