epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8017,1.06468,2.35779,1.18348,0.63477,0.37497,0.44632,0.35141,0.82951,1.48267,1.01419,0.0667753,3.32579e-05,3.32579e-05
2,155.926,0.86237,1.35235,1.05689,0.72544,0.50073,0.5788,0.45701,0.70421,1.056,0.95239,0.0334687,5.99328e-05,5.99328e-05
3,217.099,0.77744,1.08486,1.01255,0.71111,0.54882,0.62771,0.50603,0.66158,0.94302,0.93984,0.000155356,7.99417e-05,7.99417e-05
4,278.235,0.72174,0.94126,0.98396,0.79372,0.56994,0.66822,0.5425,0.62589,0.84662,0.9019,7.0003e-05,7.0003e-05,7.0003e-05
5,374.416,0.66697,0.83917,0.95477,0.76974,0.62987,0.70557,0.57239,0.59935,0.76205,0.9107,6.0004e-05,6.0004e-05,6.0004e-05
6,489.322,0.64621,0.74535,0.94534,0.88893,0.60402,0.7304,0.58986,0.57989,0.70697,0.88825,5.0005e-05,5.0005e-05,5.0005e-05
7,603.774,0.62726,0.70613,0.92991,0.90118,0.63056,0.74247,0.60272,0.5649,0.68276,0.8812,4.0006e-05,4.0006e-05,4.0006e-05
8,715.467,0.6003,0.65206,0.91374,0.87588,0.64567,0.75018,0.61675,0.55436,0.64302,0.87866,3.0007e-05,3.0007e-05,3.0007e-05
9,822.66,0.5938,0.62648,0.91674,0.88895,0.62466,0.7497,0.61624,0.54593,0.64603,0.87629,2.0008e-05,2.0008e-05,2.0008e-05
10,934.202,0.58055,0.61343,0.90426,0.90902,0.63947,0.76091,0.62426,0.53208,0.63248,0.86708,1.0009e-05,1.0009e-05,1.0009e-05
